Complaint_Description,Priority
Faded road markings creating confusion at East Fort Junction junction,Low
Improper patchwork repair noticed at Kazhakkoottam Junction,Low
Waterlogging on road at Nemom Ward after rainfall,Medium
Loose gravel spread across road at Nemom Ward,Medium
Large pothole reported at Poojappura Road causing vehicle damage,Medium
Road cave-in noticed at Peroorkada Junction posing safety hazard,Critical
Road surface damaged after rain at Peroorkada Junction,Medium
Faded road markings creating confusion at Sreekariyam Area junction,Low
Road cave-in noticed at Karamana Bridge Area posing safety hazard,Critical
Large pothole reported at Vellayambalam Ward causing vehicle damage,Medium
Large pothole reported at Kazhakkoottam Junction causing vehicle damage,Medium
Drainage blockage causing road flooding at Thampanoor Junction,High
Broken speed breaker causing inconvenience at Nemom Ward,Medium
Broken speed breaker causing inconvenience at Manacaud Area,Medium
Waterlogging on road at Pattom Ward after rainfall,Medium
Uneven road surface affecting two-wheelers at Attakulangara Market Area,Low
Broken speed breaker causing inconvenience at Sreekariyam Area,Medium
Broken speed breaker causing inconvenience at Manacaud Area,Medium
Large pothole reported at Sreekariyam Area causing vehicle damage,Medium
Damaged road divider affecting traffic flow at Vanchiyoor Ward,Medium
Road cave-in noticed at Sreekariyam Area posing safety hazard,Critical
Road shoulder erosion reported at Peroorkada Junction,Medium
Damaged road divider affecting traffic flow at Karamana Bridge Area,Medium
Severe road cracks observed at Thampanoor Junction requiring urgent repair,Low
Severe road cracks observed at Palayam Area requiring urgent repair,Low
Loose gravel spread across road at Peroorkada Junction,Medium
Road surface damaged after rain at Peroorkada Junction,Medium
Road surface damaged after rain at Pattom Ward,Medium
Large pothole reported at Vellayambalam Ward causing vehicle damage,Medium
Large pothole reported at Vanchiyoor Ward causing vehicle damage,Medium
Road surface damaged after rain at Attakulangara Market Area,Medium
Drainage blockage causing road flooding at Nemom Ward,High
Uneven road surface affecting two-wheelers at Kowdiar Junction,Low
Drainage blockage causing road flooding at Kazhakkoottam Junction,High
Road cave-in noticed at Thampanoor Junction posing safety hazard,Critical
Road surface damaged after rain at Pattom Ward,Medium
Drainage blockage causing road flooding at Nemom Ward,High
Road shoulder erosion reported at Pattom Ward,Medium
Uneven road surface affecting two-wheelers at Attakulangara Market Area,Low
Damaged road divider affecting traffic flow at Peroorkada Junction,Medium
Improper patchwork repair noticed at Karamana Bridge Area,Low
Uneven road surface affecting two-wheelers at Poojappura Road,Low
Broken speed breaker causing inconvenience at Manacaud Area,Medium
Road shoulder erosion reported at Manacaud Area,Medium
Heavy dust due to damaged road surface at Manacaud Area,Medium
Road cave-in noticed at Karamana Bridge Area posing safety hazard,Critical
Loose gravel spread across road at Attakulangara Market Area,Medium
Large pothole reported at Manacaud Area causing vehicle damage,Medium
Road surface damaged after rain at Karamana Bridge Area,Medium
Severe road cracks observed at Manacaud Area requiring urgent repair,Low
Severe road cracks observed at Poojappura Road requiring urgent repair,Low
Road cave-in noticed at Pattom Ward posing safety hazard,Critical
Frequent accidents reported due to poor road condition at Vellayambalam Ward,Low
Waterlogging on road at Sreekariyam Area after rainfall,Medium
Drainage blockage causing road flooding at Nemom Ward,High
Broken speed breaker causing inconvenience at Attakulangara Market Area,Medium
Broken speed breaker causing inconvenience at Attakulangara Market Area,Medium
Road shoulder erosion reported at Kowdiar Junction,Medium
Loose gravel spread across road at Kowdiar Junction,Medium
Waterlogging on road at Pattom Ward after rainfall,Medium
Road cave-in noticed at Poojappura Road posing safety hazard,Critical
Improper patchwork repair noticed at Kowdiar Junction,Low
Faded road markings creating confusion at Vellayambalam Ward junction,Low
Road cave-in noticed at East Fort Junction posing safety hazard,Critical
Loose gravel spread across road at Sreekariyam Area,Medium
Damaged road divider affecting traffic flow at Vanchiyoor Ward,Medium
Road shoulder erosion reported at Sreekariyam Area,Medium
Faded road markings creating confusion at Poojappura Road junction,Low
Frequent accidents reported due to poor road condition at Nemom Ward,Low
Faded road markings creating confusion at Vellayambalam Ward junction,Low
Damaged road divider affecting traffic flow at Kowdiar Junction,Medium
Severe road cracks observed at Vellayambalam Ward requiring urgent repair,Low
Loose gravel spread across road at Thampanoor Junction,Medium
Heavy dust due to damaged road surface at Pattom Ward,Medium
Loose gravel spread across road at Kazhakkoottam Junction,Medium
Improper patchwork repair noticed at Vellayambalam Ward,Low
Waterlogging on road at Kowdiar Junction after rainfall,Medium
Improper patchwork repair noticed at Nemom Ward,Low
Frequent accidents reported due to poor road condition at Peroorkada Junction,Low
Improper patchwork repair noticed at Manacaud Area,Low
Frequent accidents reported due to poor road condition at Manacaud Area,Low
Road surface damaged after rain at Karamana Bridge Area,Medium
Broken speed breaker causing inconvenience at Peroorkada Junction,Medium
Uneven road surface affecting two-wheelers at Kazhakkoottam Junction,Low
Road surface damaged after rain at Poojappura Road,Medium
Broken speed breaker causing inconvenience at Pattom Ward,Medium
Waterlogging on road at Attakulangara Market Area after rainfall,Medium
Drainage blockage causing road flooding at Manacaud Area,High
Broken speed breaker causing inconvenience at Vellayambalam Ward,Medium
Broken speed breaker causing inconvenience at Thampanoor Junction,Medium
Drainage blockage causing road flooding at Attakulangara Market Area,High
Broken speed breaker causing inconvenience at Manacaud Area,Medium
Road shoulder erosion reported at Peroorkada Junction,Medium
Uneven road surface affecting two-wheelers at Thampanoor Junction,Low
Faded road markings creating confusion at Nemom Ward junction,Low
Road surface damaged after rain at Vellayambalam Ward,Medium
Damaged road divider affecting traffic flow at Thampanoor Junction,Medium
Road surface damaged after rain at Vanchiyoor Ward,Medium
Large pothole reported at Vanchiyoor Ward causing vehicle damage,Medium
Road surface damaged after rain at Kowdiar Junction,Medium
Uneven road surface affecting two-wheelers at Sreekariyam Area,Low
Loose gravel spread across road at Sreekariyam Area,Medium
Damaged road divider affecting traffic flow at Thampanoor Junction,Medium
Faded road markings creating confusion at Sreekariyam Area junction,Low
Frequent accidents reported due to poor road condition at Pattom Ward,Low
Broken speed breaker causing inconvenience at Thampanoor Junction,Medium
Faded road markings creating confusion at Manacaud Area junction,Low
Road shoulder erosion reported at Attakulangara Market Area,Medium
Uneven road surface affecting two-wheelers at Poojappura Road,Low
Severe road cracks observed at Manacaud Area requiring urgent repair,Low
Broken speed breaker causing inconvenience at Vanchiyoor Ward,Medium
Drainage blockage causing road flooding at Sreekariyam Area,High
Road cave-in noticed at Kazhakkoottam Junction posing safety hazard,Critical
Broken speed breaker causing inconvenience at Vellayambalam Ward,Medium
Improper patchwork repair noticed at Kazhakkoottam Junction,Low
Waterlogging on road at Kazhakkoottam Junction after rainfall,Medium
Severe road cracks observed at Nemom Ward requiring urgent repair,Low
Heavy dust due to damaged road surface at Karamana Bridge Area,Medium
Severe road cracks observed at Peroorkada Junction requiring urgent repair,Low
Uneven road surface affecting two-wheelers at Thampanoor Junction,Low
Loose gravel spread across road at Vanchiyoor Ward,Medium
Drainage blockage causing road flooding at Nemom Ward,High
Road surface damaged after rain at Kowdiar Junction,Medium
Road shoulder erosion reported at Pattom Ward,Medium
Improper patchwork repair noticed at Kazhakkoottam Junction,Low
Severe road cracks observed at Karamana Bridge Area requiring urgent repair,Low
Improper patchwork repair noticed at Kowdiar Junction,Low
Severe road cracks observed at Attakulangara Market Area requiring urgent repair,Low
Severe road cracks observed at Sreekariyam Area requiring urgent repair,Low
Uneven road surface affecting two-wheelers at Kowdiar Junction,Low
Drainage blockage causing road flooding at Vanchiyoor Ward,High
Road cave-in noticed at Attakulangara Market Area posing safety hazard,Critical
Uneven road surface affecting two-wheelers at Sreekariyam Area,Low
Frequent accidents reported due to poor road condition at Karamana Bridge Area,Low
Faded road markings creating confusion at Sreekariyam Area junction,Low
Road cave-in noticed at Kowdiar Junction posing safety hazard,Critical
Waterlogging on road at Palayam Area after rainfall,Medium
Loose gravel spread across road at Attakulangara Market Area,Medium
Large pothole reported at Thampanoor Junction causing vehicle damage,Medium
Drainage blockage causing road flooding at Thampanoor Junction,High
Road cave-in noticed at Peroorkada Junction posing safety hazard,Critical
Damaged road divider affecting traffic flow at Peroorkada Junction,Medium
Loose gravel spread across road at Karamana Bridge Area,Medium
Road shoulder erosion reported at Kowdiar Junction,Medium
Loose gravel spread across road at Attakulangara Market Area,Medium
Improper patchwork repair noticed at Nemom Ward,Low
Loose gravel spread across road at Vanchiyoor Ward,Medium
Uneven road surface affecting two-wheelers at Poojappura Road,Low
Faded road markings creating confusion at Kowdiar Junction junction,Low
Large pothole reported at Attakulangara Market Area causing vehicle damage,Medium
Broken speed breaker causing inconvenience at Palayam Area,Medium
Road shoulder erosion reported at Kowdiar Junction,Medium
Road cave-in noticed at Attakulangara Market Area posing safety hazard,Critical
Waterlogging on road at Peroorkada Junction after rainfall,Medium
Severe road cracks observed at Manacaud Area requiring urgent repair,Low
Improper patchwork repair noticed at Vanchiyoor Ward,Low
Road shoulder erosion reported at Pattom Ward,Medium
Uneven road surface affecting two-wheelers at Vellayambalam Ward,Low
Improper patchwork repair noticed at Kowdiar Junction,Low
Large pothole reported at Pattom Ward causing vehicle damage,Medium
Road cave-in noticed at Vanchiyoor Ward posing safety hazard,Critical
Uneven road surface affecting two-wheelers at Karamana Bridge Area,Low
